Stock_Return,Stock_Volatility,Bond_Yield,Bond_Volatility,FX_Return,FX_Volatility,VIX,Crisis_Label
0.00518,0.1189,0.0475,0.0608,-0.00109,0.0652,14.75,0
0.00544,0.1765,0.0381,0.0662,0.00479,0.0561,15.1,0
-0.01113,0.1448,0.0384,0.0681,-0.00372,0.066,11.37,0
0.01216,0.1612,0.0541,0.0576,-0.00107,0.0891,13.57,0
-0.03711,0.6415,0.0665,0.092,0.0016,0.1426,48.4,1
0.00381,0.3773,0.0498,0.213,-0.03065,0.2349,63.6,1
0.02033,0.1418,0.0249,0.0459,0.00243,0.0473,12.4,0
-0.00795,0.1446,0.0565,0.0399,-0.00382,0.0444,20.7,0
0.0031,0.1313,0.0624,0.0627,-0.00423,0.0403,11.05,0
0.00879,0.1387,0.0591,0.0523,-2e-05,0.0439,17.38,0
-0.00505,0.1635,0.0622,0.0332,0.0004,0.052,12.89,0
0.00343,0.1154,0.0575,0.036,-0.003,0.0507,18.42,0
0.00706,0.1234,0.0431,0.0338,0.00407,0.0837,15.86,0
-0.00079,0.1168,0.0627,0.0463,-0.00093,0.0537,16.29,0
-0.03149,0.4736,0.0923,0.1294,0.0257,0.3198,51.45,1
-0.0107,0.1329,0.0535,0.0629,-0.00364,0.0888,14.25,0
-0.00129,0.1434,0.038,0.0541,-9e-05,0.0699,12.79,0
0.00886,0.1364,0.0507,0.0418,-0.0026,0.0499,15.61,0
-0.00365,0.163,0.029,0.042,-0.00551,0.0857,16.32,0
0.00894,0.1705,0.0444,0.0422,-0.00416,0.0593,21.54,0
-0.00887,0.121,0.0259,0.0628,0.00278,0.0419,18.93,0
0.00529,0.1786,0.0515,0.0377,-0.00475,0.0621,17.01,0
0.01277,0.1035,0.0437,0.0586,0.00571,0.0722,21.58,0
0.00869,0.1393,0.0479,0.036,0.00205,0.0592,19.88,0
0.01789,0.1796,0.0375,0.0307,0.00722,0.051,19.36,0
-0.00029,0.3824,0.076,0.1851,-0.00772,0.2913,66.38,1
-0.01393,0.1277,0.0564,0.0556,-0.00109,0.0845,19.38,0
0.00705,0.1139,0.0337,0.0556,-0.00328,0.0631,13.81,0
-0.00884,0.1243,0.037,0.0311,0.00303,0.0747,19.68,0
0.01496,0.4346,0.0816,0.1419,-0.00666,0.1681,47.11,1
0.01425,0.1554,0.0479,0.0679,-0.00626,0.0663,16.65,0
-0.00458,0.1639,0.0413,0.0346,-0.00049,0.063,21.39,0
-0.00931,0.1603,0.0399,0.0442,-0.0003,0.0639,12.53,0
-0.00706,0.1783,0.0451,0.0541,0.00242,0.0555,14.32,0
0.01134,0.1214,0.0456,0.0496,-0.00042,0.0444,14.65,0
-0.01764,0.16,0.0412,0.0389,-0.00974,0.0614,16.09,0
-0.00801,0.1292,0.0422,0.063,-0.01169,0.0493,14.45,0
0.0337,0.4224,0.0532,0.1062,-0.00161,0.1382,56.29,1
0.00401,0.1253,0.051,0.0533,0.00156,0.0784,11.49,0
0.00524,0.1683,0.0619,0.0474,-0.00684,0.0821,19.96,0
-0.00532,0.1765,0.0441,0.0378,-0.00301,0.0886,21.3,0
0.00295,0.1787,0.0372,0.0632,-0.00412,0.0709,11.55,0
0.00749,0.1685,0.0464,0.0345,-0.00132,0.0577,12.17,0
-0.0043,0.14,0.0541,0.0301,-0.00543,0.0428,20.69,0
0.00178,0.146,0.0446,0.0629,0.00511,0.0762,11.82,0
0.00629,0.1335,0.036,0.031,6e-05,0.0415,20.04,0
0.02101,0.1696,0.0642,0.0596,-0.00364,0.058,11.22,0
-0.00394,0.1364,0.0556,0.0578,-0.00233,0.0653,21.54,0
0.00606,0.1569,0.039,0.0567,0.00751,0.0731,18.68,0
-0.0288,0.4897,0.0813,0.1521,-0.00419,0.307,63.08,1
0.01169,0.1133,0.0543,0.0505,0.00827,0.0544,21.89,0
-0.00652,0.1466,0.0233,0.0471,9e-05,0.0658,12.5,0
-0.00301,0.1516,0.0304,0.048,-0.00235,0.0708,21.67,0
-0.00531,0.1664,0.0411,0.0525,-0.00046,0.0766,16.7,0
-0.01708,0.1679,0.0573,0.0687,0.00488,0.0804,20.38,0
-0.00739,0.1064,0.0461,0.0331,0.00189,0.0669,17.5,0
0.00497,0.121,0.0365,0.046,0.00301,0.0468,14.57,0
-0.00139,0.2835,0.0665,0.1498,-0.01438,0.1828,53.08,1
0.00168,0.1503,0.053,0.0335,0.00111,0.0484,11.38,0
-0.00848,0.1684,0.0405,0.0681,-0.00041,0.0502,12.21,0
-0.00252,0.1299,0.0473,0.0512,-0.00135,0.0481,21.35,0
0.00752,0.1193,0.0453,0.0355,-0.00268,0.065,17.96,0
0.00143,0.1723,0.0591,0.0324,-0.00161,0.0548,13.52,0
-0.00431,0.1677,0.0475,0.0506,-0.00037,0.0704,20.51,0
0.00943,0.1567,0.0554,0.0351,-0.00181,0.0471,16.55,0
0.00645,0.1703,0.032,0.0423,0.00095,0.046,16.11,0
-0.00103,0.3148,0.0801,0.2138,0.00705,0.2124,65.58,1
-0.00564,0.1723,0.0307,0.0501,-0.00055,0.0624,20.79,0
0.01684,0.6326,0.0629,0.094,0.00961,0.3043,29.91,1
-0.00079,0.1098,0.0469,0.0532,0.00058,0.0568,14.22,0
0.01265,0.1308,0.0462,0.0634,-0.0006,0.0504,17.79,0
-7e-05,0.1301,0.032,0.0607,-0.00117,0.0696,17.23,0
-0.00969,0.1166,0.0434,0.0552,-0.0031,0.0457,18.35,0
-0.00415,0.456,0.1034,0.1311,-0.01021,0.2409,38.17,1
0.00921,0.1086,0.0476,0.059,-0.00021,0.0839,12.89,0
-0.01672,0.5554,0.0658,0.2026,-0.01735,0.1317,44.48,1
-0.01415,0.1117,0.0447,0.0488,0.0073,0.0784,14.72,0
0.00243,0.1155,0.0428,0.0478,0.00142,0.0757,13.34,0
0.00769,0.2908,0.0582,0.1669,0.00265,0.2885,31.63,1
-0.01043,0.3442,0.0823,0.2095,0.00174,0.233,34.87,1
0.00375,0.1131,0.0418,0.0319,-0.00167,0.0823,14.47,0
0.00216,0.1672,0.0497,0.0301,-0.00254,0.0426,15.34,0
-0.00547,0.15,0.0412,0.0562,-0.00516,0.0713,15.79,0
0.01525,0.1044,0.061,0.0411,-0.00411,0.0468,16.35,0
-0.00331,0.1156,0.0483,0.0311,-0.0001,0.0839,18.48,0
0.01357,0.1216,0.0577,0.0597,-0.0049,0.0607,19.71,0
0.00962,0.158,0.0641,0.0648,0.00122,0.0809,20.1,0
-0.00851,0.3006,0.0937,0.1418,-0.00998,0.2001,66.72,1
-0.01156,0.1611,0.0519,0.0619,0.00156,0.0811,14.89,0
0.01283,0.1277,0.0385,0.0625,0.00491,0.0643,17.34,0
-0.0014,0.1534,0.0539,0.0524,-0.00172,0.0454,17.13,0
-0.01791,0.4766,0.1208,0.098,-0.01595,0.3179,35.22,1
-0.0074,0.493,0.1006,0.1462,0.00262,0.2356,50.61,1
-0.01325,0.173,0.0441,0.0549,-0.00681,0.0538,20.85,0
0.00637,0.1429,0.0573,0.0636,0.00465,0.045,21.98,0
-0.03778,0.4047,0.0784,0.136,-0.01073,0.1362,36.36,1
-0.04905,0.3215,0.1023,0.0935,-0.01498,0.3035,57.46,1
0.00429,0.1008,0.0368,0.0442,-0.00607,0.0604,21.96,0
-0.00999,0.1626,0.0441,0.0475,0.00307,0.0778,12.48,0
-0.00822,0.1138,0.0343,0.0367,0.00292,0.0565,15.32,0
0.01757,0.5327,0.0543,0.175,-0.02643,0.1887,44.01,1
-0.00931,0.1232,0.0396,0.035,0.00257,0.0887,11.16,0
0.0005,0.1486,0.0346,0.054,0.00553,0.0585,13.32,0
0.00781,0.1743,0.0366,0.0352,-0.00365,0.0534,18.16,0
0.01055,0.1712,0.0322,0.0518,0.00458,0.0482,11.43,0
-0.00235,0.1755,0.0541,0.0696,0.00201,0.047,13.65,0
-0.00287,0.1739,0.0402,0.0404,-0.005,0.0487,21.75,0
0.00132,0.6475,0.0822,0.2121,0.03645,0.3072,38.6,1
0.0026,0.1783,0.0488,0.0596,-0.00027,0.0791,11.9,0
0.00622,0.1014,0.0497,0.0554,-0.00514,0.0482,16.47,0
-0.01076,0.1402,0.0393,0.067,0.00636,0.0506,16.88,0
-0.00157,0.1575,0.0419,0.0515,-0.00885,0.0553,11.59,0
-0.00277,0.1123,0.0528,0.0619,0.0002,0.072,19.46,0
0.00281,0.1125,0.0456,0.0665,0.00259,0.0421,15.65,0
0.00469,0.1582,0.0456,0.0538,0.00642,0.0716,14.43,0
-0.00608,0.1311,0.0561,0.0351,0.00627,0.0653,16.2,0
0.00835,0.1485,0.0525,0.049,0.00017,0.0637,21.68,0
0.01077,0.1488,0.0441,0.0694,-0.00182,0.0789,21.39,0
-0.00094,0.1175,0.037,0.0489,-0.00018,0.0886,15.87,0
0.00538,0.1765,0.0465,0.0365,0.00041,0.0516,16.92,0
0.01917,0.5918,0.0687,0.1643,0.00493,0.1956,34.43,1
-0.00494,0.173,0.0474,0.0569,0.00345,0.0756,13.48,0
-0.00515,0.1007,0.0477,0.0433,0.00279,0.0534,19.07,0
-0.02039,0.5014,0.0849,0.1924,0.00822,0.1458,44.64,1
-0.01183,0.1216,0.0371,0.0325,0.0006,0.0807,12.55,0
-0.02064,0.1379,0.0268,0.0603,0.00364,0.0613,21.25,0
0.01277,0.5566,0.0673,0.1175,0.03334,0.1253,48.88,1
-0.0295,0.323,0.0568,0.1579,-0.00304,0.2746,48.63,1
-0.0106,0.1448,0.0513,0.0644,-0.00083,0.0448,17.16,0
-0.0349,0.3126,0.05,0.1586,-0.00925,0.2083,31.19,1
0.00206,0.1571,0.0527,0.0353,-0.00319,0.0798,14.33,0
-0.00409,0.168,0.0413,0.0486,0.00056,0.0697,11.66,0
0.04686,0.6419,0.0531,0.1902,0.00212,0.1734,40.23,1
-0.00184,0.1764,0.0518,0.0584,-0.00549,0.0459,21.75,0
0.00278,0.1645,0.0424,0.0365,-0.00609,0.0505,20.74,0
-0.0005,0.1661,0.054,0.0661,0.00015,0.0444,15.87,0
-0.0546,0.5689,0.0381,0.2184,-0.01799,0.2474,42.6,1
-0.00977,0.1271,0.0433,0.035,-0.00136,0.0673,19.28,0
-0.00549,0.1625,0.049,0.0393,-0.00474,0.0717,17.38,0
-0.00026,0.1779,0.0443,0.0632,-0.0001,0.0666,11.94,0
0.01151,0.2953,0.0788,0.0985,0.02905,0.2998,36.81,1
0.01315,0.1003,0.0536,0.037,0.00408,0.0534,14.72,0
0.00152,0.1568,0.0519,0.0676,0.00079,0.0494,19.66,0
-0.00887,0.272,0.0773,0.1756,-0.00954,0.2483,32.31,1
0.00737,0.1144,0.0568,0.0536,0.0021,0.0654,11.24,0
0.00498,0.1219,0.0539,0.0456,-0.00554,0.0854,19.86,0
-0.00964,0.1368,0.0493,0.0395,0.00257,0.0565,11.27,0
0.00517,0.106,0.0409,0.0325,0.00069,0.0702,11.17,0
0.00402,0.1643,0.0398,0.0658,-0.00055,0.068,11.28,0
0.00101,0.1533,0.0382,0.0565,-0.00014,0.0469,20.84,0
-0.03761,0.5609,0.0694,0.1113,0.0041,0.3087,56.36,1
0.01354,0.149,0.0489,0.0413,-0.00865,0.0616,21.57,0
0.00753,0.1761,0.0365,0.067,-0.00231,0.0734,14.26,0
0.00177,0.4665,0.0481,0.1676,-0.01598,0.2688,61.71,1
0.00942,0.1679,0.05,0.0311,0.00837,0.0581,21.7,0
0.00128,0.1386,0.0453,0.0466,0.00191,0.0716,21.66,0
-0.00584,0.1324,0.0477,0.0479,0.00067,0.0506,18.71,0
-0.00454,0.167,0.0426,0.0575,-0.00083,0.0715,17.1,0
0.0168,0.1133,0.0334,0.0493,0.00404,0.0597,14.92,0
-0.01144,0.1698,0.0416,0.0476,0.0,0.0589,12.07,0
0.00206,0.1146,0.0541,0.0613,-0.00415,0.0898,13.02,0
0.00698,0.1193,0.0407,0.0354,0.00287,0.0422,18.95,0
-0.01222,0.5732,0.0615,0.1846,-0.00595,0.1918,36.07,1
-0.00782,0.1711,0.0612,0.0302,-0.0016,0.0455,11.87,0
0.00925,0.1761,0.0475,0.0306,-0.0041,0.0698,11.55,0
-0.00606,0.14,0.0409,0.0384,0.00278,0.0417,13.06,0
0.01193,0.1196,0.0484,0.055,0.00171,0.048,19.5,0
0.01869,0.1218,0.0435,0.0347,0.00161,0.0841,21.21,0
-0.01816,0.1081,0.04,0.0333,-0.00257,0.0561,12.28,0
-0.00249,0.1497,0.0442,0.0353,-0.00118,0.0595,14.66,0
-0.01913,0.1275,0.0481,0.0637,0.00107,0.0549,21.06,0
-0.02215,0.6448,0.0405,0.1501,0.00809,0.2231,43.19,1
-0.00062,0.1347,0.0397,0.0433,-0.00068,0.0546,15.85,0
0.00342,0.1089,0.052,0.0699,-0.00057,0.0428,20.54,0
0.04086,0.2897,0.0878,0.133,-0.00677,0.2595,66.88,1
-0.00363,0.1176,0.0333,0.0655,-0.00015,0.0892,13.17,0
-0.00703,0.1057,0.0412,0.041,-0.00533,0.0765,19.29,0
0.00228,0.1034,0.0587,0.0434,-0.00536,0.0644,21.15,0
-0.0033,0.1326,0.052,0.0366,-0.00613,0.0589,18.54,0
-0.00517,0.1199,0.0398,0.0564,-0.0035,0.0857,16.12,0
7e-05,0.1753,0.0452,0.0412,-0.00074,0.0833,19.4,0
0.00742,0.173,0.0485,0.0307,0.00154,0.079,20.15,0
0.01865,0.1626,0.0204,0.0319,0.00304,0.0509,15.46,0
-0.0043,0.1707,0.0512,0.0553,0.00102,0.07,11.77,0
