Date,Price,Open,High,Low
2014-01-01,28686.71,28674.26,28785.54,28544.83
2014-01-02,28856.36,28792.76,28879.63,28835.8
2014-01-03,29098.75,29060.22,29529.58,29067.09
2014-01-06,29238.77,29134.76,29293.47,28926.71
2014-01-07,29417.66,29530.75,29502.09,29232.62
2014-01-08,29345.41,29407.73,29404.69,29222.39
2014-01-09,29137.15,29195.25,29484.21,29063.51
2014-01-10,29303.74,29215.95,29591.48,29299.24
2014-01-13,28797.08,28791.87,28958.96,28653.16
2014-01-14,28996.01,28988.11,29178.84,28890.44
2014-01-15,29141.96,29026.87,29330.5,29133.11
2014-01-16,29001.33,28981.39,29069.64,28996.1
2014-01-17,29060.01,28990.19,29159.27,29000.95
2014-01-20,28876.48,28790.29,28895.75,28705.58
2014-01-21,28650.02,28575.27,28790.65,28570.57
2014-01-22,28902.68,28853.47,28946.52,28859.32
2014-01-23,28961.69,29009.14,29032.2,28883.74
2014-01-24,29482.07,29599.53,29556.48,29157.36
2014-01-27,30178.26,30208.97,30226.04,30095.57
2014-01-28,30371.57,30649.88,30445.52,30355.83
2014-01-29,30463.62,30345.11,30570.38,30418.11
2014-01-30,30933.13,30848.19,31064.92,30554.32
2014-01-31,30482.07,30520.36,30548.71,30443.95
2014-02-03,30182.83,30309.62,30327.94,29994.65
2014-02-04,30157.73,30003.46,30277.25,30147.22
2014-02-05,30272.58,30328.84,30654.93,30199.71
2014-02-06,30328.01,30247.31,30609.94,30002.94
2014-02-07,30388.25,30365.05,30425.66,30373.68
2014-02-10,30616.42,30563.41,30683.81,30520.46
2014-02-11,30647.07,30601.27,30826.22,30606.9
2014-02-12,30831.21,30735.02,31144.52,30802.56
2014-02-13,30932.02,31150.41,31002.77,30746.97
2014-02-14,30807.71,30816.11,30856.31,30751.85
2014-02-17,30614.44,30565.72,30714.54,30497.41
2014-02-18,30371.63,30090.04,30414.89,30271.58
2014-02-19,30512.65,30589.92,30753.59,30463.89
2014-02-20,30492.13,30520.55,30503.33,30244.43
2014-02-21,31018.93,30850.58,31288.36,30920.79
2014-02-24,31095.24,31046.79,31262.18,31051.3
2014-02-25,31658.95,31642.48,31787.18,31641.93
2014-02-26,31394.04,31452.57,31397.84,31206.64
2014-02-27,31459.81,31247.11,31612.79,31122.07
2014-02-28,31157.15,31134.5,31376.98,30985.91
2014-03-03,31168.38,31176.68,31257.78,31051.51
2014-03-04,31462.92,31290.45,31493.19,31311.09
2014-03-05,31430.72,31465.57,31657.52,31231.1
2014-03-06,31433.19,31426.75,31640.1,31266.31
2014-03-07,31625.14,31479.51,31961.84,31406.77
2014-03-10,32243.41,32209.25,32548.78,32202.63
2014-03-11,32081.79,32042.21,32353.52,31898.19
2014-03-12,31880.18,31859.41,32072.78,31634.08
2014-03-13,31794.28,31735.52,31838.58,31635.14
2014-03-14,31846.91,31905.07,32143.32,31711.48
2014-03-17,31723.86,31514.14,31890.76,31644.64
2014-03-18,31891.97,31847.01,32060.09,31677.22
2014-03-19,32193.01,32256.74,32274.96,32161.47
2014-03-20,31942.61,31988.43,32170.23,31915.94
2014-03-21,32483.33,32473.75,32759.76,32357.97
2014-03-24,32171.63,32116.0,32200.06,32074.42
2014-03-25,32356.86,32331.22,32620.81,32312.21
2014-03-26,32478.8,32352.55,32507.35,32389.75
2014-03-27,33093.07,33179.53,33261.52,33063.02
2014-03-28,32995.15,33028.6,33107.3,32934.93
2014-03-31,33074.05,32998.54,33157.79,33040.4
2014-04-01,33285.24,33318.22,33500.68,33181.44
2014-04-02,33602.48,33410.75,33733.95,33256.51
2014-04-03,33605.25,33489.99,33663.72,33560.65
2014-04-04,34197.35,34313.15,34390.42,34194.93
2014-04-07,33907.64,34045.62,34403.14,33877.15
2014-04-08,33698.57,33621.01,34115.93,33598.21
2014-04-09,33766.29,33704.04,34031.64,33484.51
2014-04-10,33560.74,33482.45,33979.21,33355.15
2014-04-11,33165.76,33125.03,33194.25,32916.72
2014-04-14,33614.23,33591.08,33641.56,33426.67
2014-04-15,33912.57,33935.41,33962.17,33808.26
2014-04-16,33290.07,33392.95,33328.37,33132.56
2014-04-17,33594.76,33566.96,33612.0,33546.05
2014-04-18,33961.98,33973.5,34095.88,33780.74
2014-04-21,33661.92,33536.72,33694.38,33317.05
2014-04-22,34060.06,33868.39,34158.06,33715.96
2014-04-23,33634.1,33796.83,33740.02,33385.16
2014-04-24,33499.82,33574.71,33622.82,33339.73
2014-04-25,33463.78,33398.17,33506.19,33443.47
2014-04-28,33619.47,33599.6,33727.7,33418.88
2014-04-29,33748.09,33723.83,33967.24,33586.45
2014-04-30,33826.16,34031.4,34134.14,33771.42
2014-05-01,33583.99,33509.38,33633.38,33486.51
2014-05-02,34055.98,34116.91,34161.37,34032.07
2014-05-05,34268.93,34225.03,34510.93,34179.93
2014-05-06,34118.83,34211.57,34226.24,34103.62
2014-05-07,33960.3,34171.06,34141.83,33576.28
2014-05-08,34396.71,34457.61,34428.81,34342.42
2014-05-09,34604.31,34419.98,34835.82,34393.75
2014-05-12,34341.45,34267.92,34570.44,34264.45
2014-05-13,34235.41,34281.43,34415.11,34003.26
2014-05-14,34559.64,34655.02,34692.05,34432.99
2014-05-15,33975.74,33943.35,34133.44,33945.47
2014-05-16,33729.03,33645.9,33819.7,33546.65
2014-05-19,33956.24,33786.31,34045.8,33874.79
2014-05-20,33603.94,33444.25,33805.62,33597.9
2014-05-21,34095.69,34297.05,34197.0,33954.52
2014-05-22,33773.9,33724.23,33913.22,33733.51
2014-05-23,33375.68,33311.96,33425.02,33221.18
2014-05-26,32998.37,32939.58,33143.85,32728.0
2014-05-27,33022.23,33110.65,33037.25,32961.52
2014-05-28,32914.49,32815.72,32959.06,32642.38
2014-05-29,32703.03,32828.15,32821.35,32661.86
2014-05-30,32746.6,32994.07,32849.58,32612.65
2014-06-02,32526.66,32581.04,32676.99,32320.08
2014-06-03,32611.11,32392.45,32720.48,32522.06
2014-06-04,32810.06,32705.32,32970.81,32668.35
2014-06-05,32925.85,32940.23,33020.23,32735.35
2014-06-06,32625.24,32747.12,32735.65,32587.19
2014-06-09,32897.67,32845.46,33116.82,32766.67
2014-06-10,32956.41,32990.86,33147.3,32948.88
