Date,Open,High,Low,Close,Volume
2000-01-03,1409.63,1416.2,1405.2,1409.46,58577306
2000-01-04,1411.25,1424.52,1387.93,1407.68,142234867
2000-01-05,1423.37,1420.03,1404.63,1419.89,168618655
2000-01-06,1436.38,1450.09,1445.41,1448.08,118290309
2000-01-07,1437.92,1449.54,1439.04,1444.51,237265064
2000-01-10,1435.05,1446.04,1437.29,1440.94,269032483
2000-01-11,1465.79,1479.43,1446.42,1470.59,202396966
2000-01-12,1483.09,1499.28,1471.93,1485.59,214281174
2000-01-13,1483.44,1478.82,1475.53,1477.53,272004444
2000-01-14,1495.51,1492.97,1485.99,1488.37,150293533
2000-01-17,1478.68,1494.35,1463.3,1480.41,190792120
2000-01-18,1470.97,1483.39,1465.63,1472.45,174651402
2000-01-19,1473.48,1498.58,1459.23,1477.65,283454937
2000-01-20,1443.66,1449.82,1417.82,1443.15,179714646
2000-01-21,1413.94,1415.71,1407.58,1412.8,143648002
2000-01-24,1408.02,1410.63,1397.7,1403.49,239268015
2000-01-25,1390.78,1392.62,1366.88,1386.36,129691909
2000-01-26,1379.7,1413.36,1375.29,1392.52,186231430
2000-01-27,1376.49,1386.71,1376.97,1377.33,211175083
2000-01-28,1361.18,1380.13,1337.06,1353.69,164306022
2000-01-31,1377.16,1384.4,1359.89,1379.57,111114684
2000-02-01,1382.58,1377.32,1375.49,1376.31,180387381
2000-02-02,1376.45,1383.39,1350.88,1378.14,240999986
2000-02-03,1355.21,1381.67,1353.93,1354.27,232954069
2000-02-04,1339.53,1356.35,1343.34,1345.65,226534575
2000-02-07,1342.25,1360.26,1338.83,1348.17,280480881
2000-02-08,1333.25,1337.43,1325.63,1329.4,75743358
2000-02-09,1341.05,1336.68,1335.43,1336.34,147671008
2000-02-10,1327.04,1345.22,1311.94,1326.9,167737895
2000-02-11,1316.17,1322.9,1322.46,1322.66,277791773
2000-02-14,1313.53,1331.09,1295.49,1313.3,296092015
2000-02-15,1351.71,1346.57,1340.99,1344.95,171192087
2000-02-16,1354.74,1348.51,1337.86,1345.36,273301058
2000-02-17,1326.5,1334.75,1318.99,1328.18,289814913
2000-02-18,1333.74,1352.31,1335.18,1342.65,234676395
2000-02-21,1327.24,1331.53,1307.22,1322.79,185222439
2000-02-22,1325.44,1346.51,1317.27,1326.91,295720850
2000-02-23,1300.05,1315.2,1283.87,1295.17,92382526
2000-02-24,1275.71,1276.9,1267.46,1274.28,89830167
2000-02-25,1273.54,1278.17,1269.83,1278.05,229918385
2000-02-28,1290.91,1301.25,1270.29,1290.61,135055288
2000-02-29,1300.79,1305.35,1286.89,1294.02,158047342
2000-03-01,1291.98,1301.09,1274.14,1292.75,277212656
2000-03-02,1283.14,1293.9,1282.81,1288.47,174009777
2000-03-03,1257.25,1278.68,1256.67,1265.29,283086558
2000-03-06,1250.59,1258.57,1251.49,1254.47,153633649
2000-03-07,1245.75,1254.46,1240.65,1247.8,280330472
2000-03-08,1269.28,1278.8,1255.91,1265.13,297749561
2000-03-09,1265.53,1275.86,1261.45,1271.23,152568862
2000-03-10,1251.62,1257.3,1239.57,1243.89,236043812
2000-03-13,1242.89,1258.56,1242.72,1249.58,96446442
2000-03-14,1255.73,1249.61,1229.3,1244.12,154977756
2000-03-15,1242.66,1241.39,1224.98,1234.14,98078595
2000-03-16,1244.99,1247.28,1236.81,1244.28,260248633
2000-03-17,1252.84,1277.57,1255.89,1261.15,74348297
2000-03-20,1276.36,1278.55,1264.88,1276.65,166049214
2000-03-21,1261.86,1264.27,1248.92,1263.82,257678883
2000-03-22,1253.09,1266.85,1255.96,1259.51,159701814
2000-03-23,1266.85,1267.29,1253.46,1265.38,52686946
2000-03-24,1277.41,1283.48,1275.18,1281.63,175347896
2000-03-27,1270.88,1282.84,1268.18,1274.53,116298095
2000-03-28,1271.12,1287.18,1261.45,1272.15,267316308
2000-03-29,1252.26,1273.27,1247.11,1255.14,188959274
2000-03-30,1247.24,1243.22,1231.15,1236.96,239364840
2000-03-31,1247.6,1251.25,1247.12,1250.28,116169408
2000-04-03,1274.68,1282.72,1249.84,1272.43,99253353
2000-04-04,1272.63,1307.79,1262.25,1271.89,73763083
2000-04-05,1290.5,1301.51,1280.22,1288.68,158095549
2000-04-06,1297.41,1299.84,1295.13,1295.18,136462615
2000-04-07,1289.84,1292.59,1269.6,1285.31,235593985
2000-04-10,1293.17,1297.36,1279.29,1291.79,109251118
2000-04-11,1318.88,1325.29,1310.67,1317.69,236416765
2000-04-12,1318.04,1329.59,1312.95,1317.73,61953591
2000-04-13,1343.86,1345.05,1319.73,1344.6,182388051
2000-04-14,1296.82,1316.92,1294.24,1301.57,105296399
2000-04-17,1315.42,1325.71,1307.93,1315.74,170580769
2000-04-18,1319.08,1318.39,1311.88,1317.81,167995212
2000-04-19,1315.59,1317.92,1309.38,1313.48,57686033
2000-04-20,1316.58,1320.53,1312.66,1315.63,239379100
2000-04-21,1282.51,1287.47,1279.84,1283.7,217731381
2000-04-24,1280.47,1283.71,1277.98,1280.76,297481394
2000-04-25,1284.3,1299.14,1286.62,1287.15,299837290
2000-04-26,1313.61,1315.73,1296.11,1311.97,99187341
2000-04-27,1302.9,1313.02,1290.36,1304.05,260274653
2000-04-28,1292.38,1300.65,1280.9,1291.45,238015673
2000-05-01,1289.06,1305.59,1275.48,1283.92,241365538
2000-05-02,1295.75,1313.36,1292.17,1299.43,51565832
2000-05-03,1308.56,1312.62,1293.78,1305.45,285718692
2000-05-04,1297.55,1309.46,1296.42,1297.38,262636141
2000-05-05,1316.98,1317.59,1286.89,1306.42,270021094
2000-05-08,1307.51,1322.11,1307.89,1308.64,92026763
2000-05-09,1329.03,1336.88,1314.83,1325.34,182027476
2000-05-10,1314.38,1341.22,1306.6,1314.3,225021777
2000-05-11,1302.23,1327.85,1296.49,1309.51,249342730
2000-05-12,1300.96,1304.0,1298.69,1303.67,210743962
2000-05-15,1284.97,1283.1,1274.35,1280.47,278907752
2000-05-16,1283.64,1292.35,1261.41,1285.86,96016177
2000-05-17,1279.25,1295.18,1283.48,1290.71,51246049
2000-05-18,1291.25,1298.82,1268.47,1291.41,190601363
2000-05-19,1282.59,1309.16,1281.97,1288.21,240830476
2000-05-22,1266.72,1279.43,1263.99,1266.05,239032750
2000-05-23,1267.77,1260.17,1259.41,1259.96,124949383
2000-05-24,1258.99,1266.48,1250.9,1255.13,117810276
2000-05-25,1250.74,1243.76,1242.2,1243.1,182164804
2000-05-26,1238.38,1251.83,1240.8,1241.16,136800710
2000-05-29,1247.38,1255.9,1239.69,1248.09,297337535
2000-05-30,1273.37,1287.44,1261.5,1278.71,127786667
2000-05-31,1278.63,1284.68,1266.89,1282.14,102216843
2000-06-01,1282.15,1287.02,1279.52,1286.92,119575016
2000-06-02,1279.6,1295.37,1285.28,1286.33,236239747
2000-06-05,1263.06,1261.03,1237.1,1256.2,113463719
2000-06-06,1245.87,1270.92,1252.95,1256.38,248509970
2000-06-07,1264.83,1262.56,1254.31,1257.93,211181109
2000-06-08,1304.67,1302.66,1295.63,1298.2,111827840
2000-06-09,1298.27,1309.16,1295.26,1295.68,129140214
2000-06-12,1295.43,1305.69,1289.33,1301.23,162047850
2000-06-13,1293.04,1311.32,1293.29,1301.28,137538422
2000-06-14,1280.05,1296.21,1264.55,1282.87,60549900
2000-06-15,1305.35,1312.1,1292.48,1302.09,291380145
2000-06-16,1315.13,1333.99,1314.13,1315.11,179663668
2000-06-19,1323.37,1340.43,1325.73,1328.92,249258611
2000-06-20,1320.44,1333.74,1293.59,1314.4,127913513
2000-06-21,1347.5,1348.1,1337.01,1338.48,291254252
2000-06-22,1314.48,1319.54,1309.74,1315.67,198881048
2000-06-23,1326.65,1333.52,1324.34,1326.07,266302635
2000-06-26,1355.59,1378.36,1356.91,1363.82,174847212
2000-06-27,1345.32,1360.18,1343.11,1347.55,232641761
2000-06-28,1341.34,1354.3,1332.82,1338.61,242773200
2000-06-29,1342.83,1348.1,1334.1,1340.93,208868697
2000-06-30,1330.38,1343.73,1331.23,1333.08,156657940
2000-07-03,1306.48,1326.27,1283.77,1307.91,291609803
2000-07-04,1307.33,1310.66,1301.88,1309.67,287241935
2000-07-05,1291.43,1311.55,1289.58,1292.87,239866046
2000-07-06,1303.43,1328.99,1300.69,1301.23,164382419
2000-07-07,1276.73,1287.86,1279.78,1286.86,111112713
2000-07-10,1312.47,1324.58,1301.32,1312.86,174682070
2000-07-11,1302.4,1303.0,1275.92,1300.58,75126390
2000-07-12,1292.98,1301.11,1290.43,1295.93,74599918
2000-07-13,1307.4,1313.49,1301.33,1309.91,50075229
2000-07-14,1288.04,1292.38,1287.33,1290.37,165578938
2000-07-17,1292.21,1300.25,1286.18,1294.69,202779570
2000-07-18,1316.84,1322.9,1312.17,1316.81,134541828
2000-07-19,1291.69,1291.83,1281.66,1291.03,58569419
2000-07-20,1283.77,1295.25,1292.47,1294.65,189038121
2000-07-21,1302.91,1308.1,1291.18,1299.51,238476405
2000-07-24,1311.48,1324.2,1308.21,1313.0,257435341
2000-07-25,1303.31,1293.85,1289.15,1293.31,182280955
2000-07-26,1266.52,1292.05,1265.0,1272.58,197922421
2000-07-27,1277.14,1293.52,1266.38,1281.59,156007051
2000-07-28,1285.96,1300.9,1260.18,1287.0,216387991
2000-07-31,1293.82,1291.94,1290.54,1291.69,182639788
2000-08-01,1287.83,1301.29,1279.93,1297.96,77482676
2000-08-02,1283.23,1297.82,1262.35,1287.5,246050100
2000-08-03,1294.94,1308.01,1287.05,1291.88,172482064
2000-08-04,1292.36,1317.53,1289.53,1297.28,131881024
2000-08-07,1293.32,1299.81,1285.91,1286.27,235793909
2000-08-08,1315.1,1331.29,1309.03,1317.49,118643049
2000-08-09,1321.24,1328.95,1316.23,1326.01,135242041
2000-08-10,1310.07,1313.9,1290.3,1306.88,238080932
2000-08-11,1326.84,1331.59,1308.28,1318.36,58364106
2000-08-14,1305.06,1308.68,1282.63,1302.89,257014825
2000-08-15,1323.14,1331.27,1315.92,1316.5,203993925
2000-08-16,1345.46,1358.86,1333.42,1336.5,231653070
2000-08-17,1318.5,1323.62,1320.55,1323.38,278571368
2000-08-18,1345.21,1340.8,1337.1,1340.18,129295655
2000-08-21,1339.59,1354.15,1336.57,1347.81,192234134
2000-08-22,1364.8,1372.98,1361.57,1362.49,260797974
